episode,timestep,reward
30,800,26.5333
67,1600,21.4865
98,2400,25.4516
127,3200,26.6207
147,4000,41.35
166,4800,42.8421
176,5600,72.2
188,6400,73.5833
198,7200,78.9
208,8000,79.9
213,8800,151.2
219,9600,116.1667
226,10400,130.1429
231,11200,144.2
235,12000,197.0
240,12800,154.2
245,13600,157.8
250,14400,172.2
254,15200,200.0
259,16000,181.2
263,16800,193.5
267,17600,190.0
271,18400,200.0
275,19200,199.5
279,20000,200.0
283,20800,170.75
288,21600,193.6
292,22400,200.0
296,23200,178.0
300,24000,192.75
305,24800,176.8
309,25600,193.0
313,26400,197.5
317,27200,200.0
321,28000,197.75
325,28800,183.75
330,29600,194.0
334,30400,200.0
338,31200,188.75
342,32000,192.25
347,32800,173.0
351,33600,195.75
355,34400,200.0
360,35200,149.0
364,36000,193.75
368,36800,200.0
372,37600,200.0
376,38400,200.0
380,39200,200.0
384,40000,200.0
388,40800,200.0
392,41600,200.0
396,42400,200.0
400,43200,200.0
404,44000,200.0
408,44800,200.0
412,45600,192.75
417,46400,178.6
423,47200,140.8333
427,48000,200.0
431,48800,184.0
435,49600,182.0
439,50400,200.0
445,51200,143.6667
449,52000,200.0
453,52800,200.0
458,53600,172.8
462,54400,200.0
466,55200,200.0
470,56000,200.0
474,56800,196.25
478,57600,200.0
482,58400,200.0
486,59200,193.0
490,60000,200.0
494,60800,200.0
498,61600,192.0
502,62400,200.0
506,63200,178.0
510,64000,200.0
514,64800,200.0
518,65600,200.0
523,66400,169.8
527,67200,197.25
531,68000,200.0
535,68800,200.0
539,69600,200.0
543,70400,200.0
548,71200,168.8
552,72000,199.25
556,72800,194.5
560,73600,200.0
564,74400,200.0
568,75200,200.0
572,76000,200.0
576,76800,200.0
580,77600,200.0
584,78400,200.0
588,79200,197.25
592,80000,188.0
597,80800,167.4
601,81600,189.5
605,82400,198.5
609,83200,200.0
613,84000,200.0
617,84800,200.0
621,85600,199.75
626,86400,195.2
630,87200,200.0
634,88000,197.0
638,88800,189.5
642,89600,193.25
646,90400,200.0
650,91200,200.0
654,92000,200.0
658,92800,200.0
662,93600,200.0
666,94400,200.0
670,95200,200.0
674,96000,200.0
678,96800,200.0
682,97600,200.0
686,98400,200.0
690,99200,200.0
694,100000,200.0
