episode,timestep,reward
37,1000,26.6216
83,2000,22.0435
108,3000,40.0
139,4000,31.9032
153,5000,71.9286
164,6000,91.0909
170,7000,132.8333
175,8000,233.6
178,9000,248.6667
181,10000,271.3333
184,11000,432.6667
187,12000,333.0
189,13000,412.0
191,14000,500.0
193,15000,500.0
195,16000,500.0
197,17000,500.0
199,18000,500.0
201,19000,500.0
203,20000,500.0
205,21000,500.0
207,22000,500.0
209,23000,500.0
211,24000,500.0
213,25000,500.0
215,26000,500.0
217,27000,500.0
219,28000,500.0
221,29000,500.0
223,30000,500.0
225,31000,500.0
227,32000,500.0
229,33000,500.0
231,34000,500.0
233,35000,500.0
235,36000,500.0
237,37000,500.0
239,38000,500.0
241,39000,500.0
243,40000,500.0
245,41000,500.0
247,42000,500.0
249,43000,500.0
251,44000,500.0
253,45000,500.0
255,46000,500.0
257,47000,500.0
259,48000,500.0
261,49000,500.0
263,50000,500.0
265,51000,500.0
267,52000,500.0
269,53000,500.0
271,54000,500.0
273,55000,500.0
275,56000,500.0
277,57000,500.0
279,58000,500.0
281,59000,500.0
283,60000,500.0
285,61000,500.0
287,62000,500.0
289,63000,500.0
291,64000,500.0
293,65000,500.0
295,66000,500.0
297,67000,500.0
299,68000,500.0
301,69000,500.0
303,70000,500.0
305,71000,500.0
307,72000,500.0
309,73000,500.0
311,74000,500.0
313,75000,500.0
315,76000,500.0
317,77000,500.0
319,78000,500.0
321,79000,500.0
323,80000,500.0
325,81000,500.0
327,82000,500.0
329,83000,500.0
331,84000,500.0
333,85000,500.0
335,86000,500.0
337,87000,500.0
339,88000,500.0
341,89000,500.0
343,90000,500.0
345,91000,500.0
347,92000,500.0
349,93000,500.0
351,94000,500.0
353,95000,500.0
355,96000,500.0
357,97000,500.0
359,98000,500.0
361,99000,500.0
363,100000,500.0
