episode,timestep,reward
36,800,21.9722
73,1600,21.2973
104,2400,26.0
136,3200,25.25
161,4000,31.4
190,4800,27.7931
209,5600,41.2105
228,6400,43.5789
241,7200,59.0769
254,8000,63.1538
260,8800,128.0
268,9600,102.75
274,10400,131.8333
279,11200,148.6
286,12000,113.1429
292,12800,124.3333
297,13600,183.8
301,14400,196.5
305,15200,211.75
307,16000,317.0
310,16800,234.0
314,17600,232.25
317,18400,309.6667
319,19200,376.0
321,20000,333.5
324,20800,284.3333
328,21600,183.0
332,22400,249.5
335,23200,238.0
338,24000,263.0
340,24800,345.5
343,25600,267.3333
345,26400,400.0
347,27200,400.0
349,28000,400.0
351,28800,400.0
353,29600,400.0
356,30400,334.0
358,31200,355.5
360,32000,400.0
362,32800,388.5
365,33600,254.6667
368,34400,310.0
371,35200,251.0
373,36000,366.0
376,36800,275.6667
378,37600,400.0
380,38400,326.0
382,39200,400.0
385,40000,305.3333
387,40800,400.0
389,41600,391.5
391,42400,400.0
393,43200,400.0
395,44000,400.0
397,44800,400.0
399,45600,400.0
401,46400,397.0
403,47200,400.0
405,48000,400.0
407,48800,400.0
409,49600,400.0
411,50400,400.0
413,51200,400.0
415,52000,341.0
417,52800,400.0
420,53600,362.0
422,54400,334.5
424,55200,400.0
426,56000,363.5
429,56800,328.0
431,57600,257.5
433,58400,400.0
435,59200,361.5
437,60000,400.0
439,60800,400.0
441,61600,400.0
444,62400,373.3333
446,63200,400.0
448,64000,326.5
450,64800,375.0
452,65600,400.0
455,66400,340.3333
457,67200,296.0
459,68000,374.5
461,68800,400.0
463,69600,366.0
465,70400,400.0
468,71200,337.6667
471,72000,295.3333
473,72800,342.5
475,73600,366.0
477,74400,341.0
480,75200,352.6667
482,76000,297.0
485,76800,360.6667
487,77600,340.5
489,78400,390.5
491,79200,377.0
493,80000,400.0
496,80800,298.6667
498,81600,368.5
500,82400,336.5
502,83200,400.0
505,84000,317.3333
507,84800,347.0
510,85600,328.0
512,86400,298.5
515,87200,332.0
517,88000,314.0
521,88800,260.0
523,89600,376.0
525,90400,400.0
527,91200,358.5
529,92000,361.0
531,92800,329.5
533,93600,392.5
536,94400,379.6667
538,95200,337.0
540,96000,384.0
542,96800,400.0
544,97600,400.0
546,98400,388.0
548,99200,400.0
551,100000,312.0
