episode,timestep,reward
719,1020800,163.077
721,1024000,290.5054
723,1027200,292.4577
725,1030400,285.9247
727,1033600,292.5028
729,1036800,291.7003
731,1040000,284.7238
733,1043200,282.6154
736,1046400,292.8548
738,1049600,294.839
740,1052800,284.4163
742,1056000,293.9754
744,1059200,293.4304
746,1062400,292.9865
748,1065600,291.0496
750,1068800,292.3238
752,1072000,290.9153
755,1075200,160.0336
757,1078400,291.5343
759,1081600,294.5424
761,1084800,288.5731
763,1088000,291.7815
765,1091200,291.7177
767,1094400,293.8319
769,1097600,283.4699
771,1100800,293.0964
773,1104000,292.3323
775,1107200,289.9076
778,1110400,293.0025
780,1113600,291.9546
782,1116800,295.3245
784,1120000,294.3576
786,1123200,291.6029
788,1126400,293.4983
790,1129600,290.9125
792,1132800,290.1204
794,1136000,293.2145
796,1139200,294.6492
798,1142400,294.4468
800,1145600,289.7908
802,1148800,292.6048
804,1152000,292.8153
806,1155200,291.0294
808,1158400,291.7778
811,1161600,281.6822
813,1164800,290.4616
815,1168000,290.914
817,1171200,290.3058
819,1174400,290.9443
821,1177600,293.7787
823,1180800,294.0918
825,1184000,266.2509
827,1187200,292.2062
829,1190400,289.9202
831,1193600,292.2126
833,1196800,281.6536
836,1200000,174.8742
838,1203200,289.9308
840,1206400,293.394
842,1209600,292.7913
844,1212800,294.7312
846,1216000,291.8605
848,1219200,287.1247
850,1222400,291.7658
852,1225600,292.0044
854,1228800,289.6194
856,1232000,294.4053
859,1235200,291.8343
861,1238400,291.0787
863,1241600,291.8722
866,1244800,160.83
868,1248000,293.0494
870,1251200,290.1317
872,1254400,293.796
875,1257600,72.2484
878,1260800,290.5946
880,1264000,290.0726
882,1267200,291.2304
884,1270400,285.7846
886,1273600,288.5964
888,1276800,290.5035
890,1280000,287.8274
892,1283200,287.8972
894,1286400,289.3512
896,1289600,290.663
898,1292800,288.1635
900,1296000,283.9093
902,1299200,283.2279
904,1302400,290.5323
906,1305600,287.6584
909,1308800,159.2111
912,1312000,160.407
914,1315200,289.8919
916,1318400,286.6988
918,1321600,285.9974
920,1324800,287.7697
922,1328000,284.7837
925,1331200,289.0138
927,1334400,288.6668
929,1337600,283.6833
931,1340800,287.3215
933,1344000,278.7841
935,1347200,287.9716
937,1350400,286.331
939,1353600,288.1453
941,1356800,289.0415
943,1360000,286.5792
945,1363200,287.4428
948,1366400,160.6569
950,1369600,285.669
952,1372800,290.0254
954,1376000,287.7764
956,1379200,286.3909
958,1382400,288.0214
960,1385600,284.7684
962,1388800,289.824
965,1392000,289.2865
967,1395200,286.3225
969,1398400,278.0304
971,1401600,290.6594
973,1404800,288.4241
975,1408000,290.7209
977,1411200,282.3509
979,1414400,291.3266
981,1417600,288.6285
983,1420800,289.8463
985,1424000,289.7147
987,1427200,287.6989
989,1430400,290.9388
991,1433600,288.5275
993,1436800,290.2444
996,1440000,289.9521
999,1443200,161.2254
1002,1446400,31.0612
1005,1449600,289.2358
1007,1452800,288.9389
1009,1456000,289.4863
1011,1459200,286.7893
1013,1462400,290.5418
1015,1465600,286.2164
1017,1468800,290.0483
1019,1472000,291.849
1021,1475200,289.6587
1023,1478400,286.625
1025,1481600,287.2477
1027,1484800,290.8804
1029,1488000,289.984
1031,1491200,290.6895
1033,1494400,289.8931
1036,1497600,159.187
1038,1500800,288.7845
1042,1504000,192.2595
1044,1507200,287.3953
1046,1510400,289.5276
1048,1513600,287.6846
1050,1516800,289.5992
1052,1520000,288.2548
1054,1523200,288.9262
1056,1526400,287.2878
1058,1529600,287.6205
1060,1532800,288.7792
1062,1536000,288.4208
1065,1539200,221.2466
1067,1542400,281.5955
1069,1545600,285.6918
1075,1548800,28.4366
1078,1552000,156.9034
1080,1555200,289.6865
1083,1558400,161.4785
1085,1561600,288.3415
1087,1564800,288.1589
1089,1568000,287.6589
1091,1571200,290.4311
1093,1574400,286.6941
1095,1577600,290.9004
1097,1580800,181.9614
1100,1584000,288.3005
1102,1587200,289.7158
1104,1590400,289.0538
1106,1593600,288.8016
1108,1596800,290.6749
1114,1600000,31.5937
1119,1603200,54.4412
1122,1606400,34.5316
1125,1609600,288.4873
1127,1612800,285.3644
1129,1616000,287.2767
1131,1619200,289.1455
1133,1622400,287.2576
1135,1625600,196.4581
1137,1628800,285.4821
1139,1632000,287.2664
1141,1635200,285.2361
1143,1638400,287.3363
1145,1641600,288.0876
1148,1644800,287.5695
1150,1648000,285.9385
1152,1651200,290.5629
1154,1654400,280.0069
1161,1657600,4.8141
1163,1660800,286.4166
1165,1664000,290.2958
1167,1667200,284.819
1169,1670400,285.5245
1171,1673600,284.8006
1173,1676800,286.5245
1175,1680000,288.4438
1177,1683200,286.0297
1179,1686400,283.9781
1181,1689600,287.7966
1183,1692800,287.0468
1185,1696000,287.3141
1188,1699200,286.3028
1190,1702400,289.5107
1192,1705600,168.4961
1195,1708800,226.0077
1197,1712000,275.0571
1200,1715200,150.0413
1202,1718400,285.9387
1204,1721600,288.632
1206,1724800,287.0822
1208,1728000,283.9225
1210,1731200,285.9567
1212,1734400,288.5962
1214,1737600,288.9489
1216,1740800,285.5016
1218,1744000,287.6894
1220,1747200,286.3327
1222,1750400,284.4095
1225,1753600,174.1443
1227,1756800,289.114
1229,1760000,287.7373
1231,1763200,286.7623
1233,1766400,286.1124
1236,1769600,287.5363
1239,1772800,98.7517
1242,1776000,158.5479
1244,1779200,287.5328
1246,1782400,289.8219
1248,1785600,196.0492
1251,1788800,287.0782
1253,1792000,287.3566
1255,1795200,290.1625
1257,1798400,274.9789
1259,1801600,286.8375
1261,1804800,286.5604
1263,1808000,285.0353
1265,1811200,282.8679
1267,1814400,168.7706
1270,1817600,286.3614
1272,1820800,287.156
1274,1824000,284.2593
1277,1827200,157.0567
1282,1830400,31.5704
1284,1833600,285.9306
1286,1836800,285.7449
1288,1840000,278.736
1290,1843200,288.7579
1292,1846400,285.605
